"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AUTOMOTIVE","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","COMMENT","COMPONENTLINK2URL","CURRENT RATING","DATASHEET URL","DEPTH","FREQUENCY","GENDER","HEIGHT","IMPEDANCE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MAX POWER DISSIPATION","MOUNT","MOUSER DESCRIPTION","NUMBER OF CIRCUITS","NUMBER OF PINS","NUMBER OF TERMINATIONS","PACKAGE","PACKAGE REFERENCE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PARTNUMBER","PITCH","POWER RATING","RESISTANCE","SERIES","TERMINATION","TEST FREQUENCY","VALUE","VOLTAGE RATING","VOLTAGE RATING (DC)","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"CMP-05379-000002-1","FP-D2510-6002-AR-MFG","","","","No","","","","","Conn","D2510-6002-AR","http://multimedia.3m.com/mws/media/485877O/3m-four-wall-header-d2500-series-ts-2244.pdf","1.75A","","","","","10.04mm","","","3M","D2510-6002-AR","","","","Headers & Wire Housings 10P 4WALL HEADER STRT L-PRO THRU-HOLE","","","","D2510-6002-AR","","","","","","","2.54mm","","","","","","Shrouded  HEADER 10POS 2.54MM","","","","","X?","CONN HEADER VERT 10POS 2.54MM"
"CMP-0686-00643-3","FP-BLM21-0_2-t0_85-e0_5-IPC_A","FP-BLM21-0_2-t0_85-e0_5-IPC_C","FP-BLM21-0_2-t0_85-e0_5-MFG","FP-BLM21-0_2-t0_85-e0_5-IPC_B","","","0805","2012","0805","","BLM21AG601SN1J","","600mA","","0.85mm","","","1.25mm","600R","2.2mm","Murata","BLM21AG601SN1J","","","","","1","2","","","","","","","","","","","","","Flat","100MHz","BLM21AG601SN1J","","","","","FB?","Chip Ferrite Bead, 0805, 600? @ 100MHz, 0.2?, 25%, 700mA"
"CMP-07162-000010-1","FP-MA03D-MFG","FP-MA03D-IPC_C","FP-MA03D-IPC_B","FP-MA03D-IPC_A","No","10pF","","","","Diode","BAT54C","https://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/BAT54(A,C,S).pdf","","","","","","1.2mm","","","ON Semiconductor","BAT54C","","","","","","","","MA03D","","","","","","","","","","","","","BAT54C","","","","","VD?","DIODE ARRAY SCHOTTKY 30V SOT23-3"
"CMP-07173-000101-1","FP-318-08-IPC_B","FP-318-08-MFG","FP-318-08-IPC_A","FP-318-08-IPC_C","","","","","SOT-23","","BSS138","","220mA","","","","","0.93mm","","2.92mm","ON Semiconductor / Fairchild","BSS138","","360mW","Surface Mount","","","3","","","","","","","","","","","","","SMD/SMT","","BSS138","","50V","1.3mm","","Q?","MOSFET N-CH 50V 220MA SOT-23"
"CMP-07231-003724-1","FP-CR0805-IPC_B","FP-CR0805-IPC_C","FP-CR0805-IPC_A","FP-CR0805-MFG","","","0805","2012","0805","","CR0805-JW-222ELF","","","","1.25mm","","","0.024inch","","2mm","Bourns","CR0805-JW-222ELF","","125mW","Surface Mount","","","","2","","","","","","","","","125mW","2.2kR","","SMD/SMT","","2.2k?","150V","150V","1.25mm","","R?","Thick Film Chip Resistors 0805 2.2k? 0.125W 5% 200ppm/°C"
"CMP-07231-003873-1","FP-CR0805-IPC_B","FP-CR0805-MFG","FP-CR0805-IPC_A","FP-CR0805-IPC_C","","","0805","2012","0805","","CR0805-JW-103ELF","","","","1.25mm","","","0.5mm","","2mm","Bourns","CR0805-JW-103ELF","","125mW","Surface Mount","","","2","2","","","","","","","","","125mW","10kR","","SMD/SMT","","10k?","150V","100V","1.25mm","","R?","Thick Film Chip Resistors 0805 10k? 0.125W 5% 200ppm/°C"
"CMP-07231-004348-1","FP-CR0805-IPC_C","FP-CR0805-MFG","FP-CR0805-IPC_A","FP-CR0805-IPC_B","","","0805","2012","0805","","CR0805-J/-000ELF","","","","1.25mm","","","0.5mm","","2mm","Bourns","CR0805-J/-000ELF","","125mW","Surface Mount","","","2","","","","","","","","","","125mW","0mR","","SMD/SMT","","0?","150V","150V","1.25mm","","R?","Thick Film Chip Resistors 0805 0? 0.125W 5%"
"CMP-07231-004713-1","FP-CR0805-MFG","FP-CR0805-IPC_C","FP-CR0805-IPC_B","FP-CR0805-IPC_A","","","0805","2012","0805","","CR0805-JW-472ELF","","","","1.25mm","","","0.024inch","","2mm","Bourns","CR0805-JW-472ELF","","125mW","Surface Mount","","","","2","","","","","","","","","125mW","4.7kR","","SMD/SMT","","4.7k?","150V","150V","0.049inch","","R?","Thick Film Chip Resistors 0805 4.7k? 0.125W 5% 200ppm/°C"
"CMP-08839-004390-1","FP-MCR10-MFG","FP-MCR10-IPC_A","FP-MCR10-IPC_C","FP-MCR10-IPC_B","","","0805","2012","0805","","MCR10ERTJ102","","","","","","","0.024inch","","0.079inch","Rohm","MCR10ERTJ102","","125mW","","","","","2","","","","","","","","","","1kR","MCR10","","","1k?","","150V","0.049inch","","R?","Thick Film Chip Resistor, 0805, 1k?, 5%, 200ppm/°C, 0.125W, 150V"
"CMP-10112-000010-1","FP-SOT162-1-MFG","FP-SOT162-1-IPC_C","FP-SOT162-1-IPC_B","FP-SOT162-1-IPC_A","No","","","","","IC","PCF8574T/3,518","https://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","","","","100kHz","","2.65mm","","","NXP Semiconductors","PCF8574T/3,518","","","","PCF8574 Series 2.5 - 6V Remote 8-bit I/O Expander for I2C-bus - SOIC-16","","","","SOT162-1","","","","","","","","","","","","","PCF8574T/3,518","","","","","U?","IC I/O EXPANDER I2C 8B 16SOIC"
"CMP-1024-00383-1","SMTC-TSW-106-07-X-S","","","","","","","","","","TSW-106-07-G-S","http://www.samtec.com/documents/webfiles/pdf/TSW_TH.PDF","","","","","","","","","Samtec","TSW-106-07-G-S","","","","","","","","","",".025[0.64] SQ. Post Terminal Strip Assembly","TSW-106-07-X-S","DM, 8/1988","","TSW-106-07-G-S","2.54 mm","","","","","","6 pin header 2.54mm","","","","","X?","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS"
